iid;title;year;Children's;Comedy;Animation;Fantasy;Adventure;Romance;Drama;Thriller;Crime;Action;Horror;Sci-Fi;Documentary;War;Musical;Mystery;Film-Noir;Western;directors;actors;writers
0;Toy Story;1989;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Tom Hanks;
1;Jumanji;1989;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;Robin Williams;
2;Grumpier Old Men;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;Walter Matthau,Jack Lemmon;
3;Waiting to Exhale;1989;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;Ronald Bass
4;Father of the Bride Part II;1989;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Steve Martin,Diane Keaton;
5;Heat;1989;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;;Al Pacino,Robert De Niro,Val Kilmer,Jon Voight;
6;Sabrina;1989;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;Harrison Ford;Billy Wilder
7;Tom and Huck;1989;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
8;Sudden Death;1989;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;;;
9;GoldenEye;1989;False;False;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;;;
10;American President;1989;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;Rob Reiner;Michael Douglas,Michael J. Fox;
11;Dracula: Dead and Loving It;1989;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;;;
12;Balto;1989;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Kevin Bacon,Bridget Fonda;
13;Nixon;1989;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Anthony Hopkins,Ed Harris;
